COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Turkey,TUR,EURO,OWID,2021-06-07,28960961,16551775,34.3,19.625,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Turkmenistan,TKM,EURO,REPORTING,2021-04-04,41993,32240,0.7,0.535,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SRCVB - EpiVacCorona",2021-03-31,4
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-06-04,36170,20760,93.419,53.618,Pfizer BioNTech - Comirnaty,2021-01-11,1
Tuvalu,TUV,WPRO,REPORTING,2021-04-30,2344,2344,19.878,19.878,AstraZeneca - AZD1222,2021-04-13,1
Uganda,UGA,AFRO,REPORTING,2021-06-08,768434,728894,1.68,1.594,SII - Covishield,2021-03-10,1
Ukraine,UKR,EURO,REPORTING,2021-05-30,1147804,1012746,2.6,2.316,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,5
United Arab Emirates,ARE,EMRO,OWID,2021-06-06,13315751,,134.633,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
United States of America,USA,AMRO,REPORTING,2021-06-04,301161088,173877697,90.984,52.531,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3
Uruguay,URY,AMRO,REPORTING,2021-06-04,2972094,1910115,85.559,54.987,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3
Uzbekistan,UZB,EURO,REPORTING,2021-05-23,486993,153755,1.5,0.459,"Anhui ZL - Recombinant,Gamaleya - Sputnik V,SII - Covishield",2021-05-12,3
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-06-04,230000,,0.809,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-13,3
Viet Nam,VNM,WPRO,REPORTING,2021-06-04,1187607,1156056,1.22,1.188,"AstraZeneca - AZD1222,Gamaleya - Sputnik V",2021-03-08,2
Wallis and Futuna,WLF,WPRO,REPORTING,2021-05-21,8186,4341,72.79,38.6,Moderna - mRNA-1273,2021-03-19,1
Yemen,YEM,EMRO,REPORTING,2021-06-07,196234,196234,0.658,0.658,SII - Covishield,2021-04-20,1
Zambia,ZMB,AFRO,REPORTING,2021-06-08,147220,141934,0.801,0.772,SII - Covishield,2021-04-14,1
Zimbabwe,ZWE,AFRO,REPORTING,2021-06-08,1068107,687321,7.186,4.624,"Beijing CNBG - Inactivated,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3
